Location,"Population, total",Population density (people per sq. km of land area),GDP_per_capita_USD,Current_health_expenditure_per_capita_USD,"Population, female (% of total population)","Literacy rate, adult total (% of people ages 15 and above)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Urban population%,Rural population (% of total population)
Belize,383071,16.79399386,4884.742421,280.4988098,50.19252306,,20.786,4.716,45.724,54.276
Benin,11485048,101.8539198,901.5438712,30.76644707,50.0982017,42.3624,36.221,8.871,47.312,52.688
Bermuda,63973,1184.592572,,,,,8.2,7.5,100,0
Bhutan,754394,19.77752777,3243.231125,96.79930115,47.00263522,,17.259,6.245,40.895,59.105
Bolivia,11353142,10.48014585,3548.59014,220.2745667,49.78339913,,21.75,6.772,69.425,30.575
Bosnia and Herzegovina,3323929,64.92048828,6065.672708,460.4733276,51.01053603,,8.111,10.712,48.245,51.755
Botswana,2254126,3.977424876,8258.641666,465.9293213,51.73076044,,24.821,5.742,69.446,30.554
Brazil,209000000,25.06171624,8920.762105,928.7993164,50.82991676,93.2275,13.924,6.452,86.569,13.431
British Virgin Islands,29802,198.68,,,,,,,47.723,52.277
Brunei,428962,81.39696395,31628.32879,671.411499,48.03618053,97.21411,14.896,4.445,77.629,22.371
Bulgaria,7025037,64.70353721,9272.629304,663.7150879,51.41408841,,8.9,15.4,75.008,24.992
Burkina Faso,19751535,72.19128289,715.122904,44.40349197,50.09548152,41.22445,37.93,8.124,29.358,70.642
Burundi,11175378,435.178271,271.7520444,23.50043297,50.42199464,,39.008,7.929,13.032,86.968
Cabo Verde,543767,134.9297767,3635.40685,167.5896149,49.81903914,,19.49,5.625,65.732,34.268
Cambodia,16249798,92.05641287,1510.324871,82.0758667,51.19798127,,22.464,5.997,23.388,76.612
Cameroon,25216237,53.34398891,1533.74214,67.81181335,50.00348783,77.07104,35.386,9.266,56.374,43.626
Canada,37057765,4.075308214,46232.98962,4754.947754,50.39152995,,10.1,7.7,81.411,18.589
Cayman Islands,64174,267.3916667,,,,,9.9,3.3,100,0
Central African Republic,4666377,7.490412212,475.7212505,24.15005493,50.43647371,37.39582,35.348,12.289,41.364,58.636
Chad,15477751,12.29173364,728.3432354,29.73086357,50.08489942,,42.172,12.104,23.059,76.941
Channel Islands,170499,861.1060938,,,50.52904467,,9.861,7.814,30.914,69.086
Chile,18729160,25.18944607,15923.35874,1381.986206,50.72703184,,12.428,6.163,87.564,12.436
China,1390000000,148.3488333,9770.847088,440.8256226,48.67937396,96.84089,10.9,7.1,59.152,40.848
Colombia,49648685,44.74870212,6667.7907,459.1975708,50.9257717,95.09251,14.882,5.562,80.778,19.222
Comoros,832322,447.2444775,1415.263622,58.76092911,49.55870444,58.81702,31.881,7.214,28.965,71.035
Congo (Brazzaville),84068091,37.08259236,561.7771824,19.43164635,50.09774339,,41.183,9.482,44.46,55.54
"Congo, Rep.",5244363,15.35684627,2147.769461,49.98372269,50.06560377,80.29876,32.862,6.705,66.916,33.084
Costa Rica,4999441,97.91306306,12027.36588,869.0777588,50.0098511,97.86379,13.971,5.078,79.34,20.66
Cote d'Ivoire,25069229,78.83405346,1715.531332,69.74924469,49.51911958,47.16535,35.74,10.053,50.779,49.221
Croatia,4087843,73.077198,14909.69319,902.1396484,51.85262175,,9,12.9,56.947,43.053
Cuba,11338138,108.9995962,8821.818891,987.6270142,50.33284983,,10.166,8.988,77.037,22.963
Curacao,159800,,19567.89244,,54.09546982,,10.8,8.8,89.145,10.855
Cyprus,1189265,128.7083333,28689.69858,1731.694458,49.9710745,,10.462,7.022,66.81,33.19
Czechia,10629928,137.6028879,23078.57349,1475.915161,50.80858893,,10.7,10.6,73.792,26.208
Denmark,5793636,138.0673017,61350.34791,5800.151367,50.27420273,,10.6,9.5,87.874,12.126
Djibouti,958920,41.36842105,3082.543099,70.33089447,47.36678545,,21.466,7.102,77.777,22.223
Dominica,71625,95.5,7691.345097,439.5944519,,,,,70.483,29.517
Dominican Republic,10627165,219.9785759,8050.631602,433.2085876,50.00779607,,19.506,6.15,81.074,18.926
Ecuador,17084357,68.78868175,6344.871979,518.0296021,49.97062518,,19.719,5.109,63.821,36.179
Egypt,98423595,98.87346929,2549.132252,105.7684555,49.46997164,,26.379,5.817,42.704,57.296
El Salvador,6420744,309.8814672,4058.252439,282.4910278,53.11400244,89.0086,18.253,7.04,72.023,27.977
Equatorial Guinea,1308974,46.66573975,10261.76001,301.1500549,44.45585294,,33.241,9.323,72.143,27.857
Eritrea,,,,32.91199875,,76.57052,30.302,7.163,,
Estonia,1321977,30.38610536,23266.34627,1300.481689,52.85842682,,10.9,11.9,68.88,31.12
Eswatini,1136191,66.05761628,4145.974112,224.7367706,51.14893063,88.41938,26.342,9.376,23.799,76.201
Ethiopia,109000000,109.224559,772.3135303,25.26195335,49.97888842,,32.339,6.551,20.763,79.237
Faroe Islands,48497,34.73996983,,,,,13.4,7.7,42.064,57.936
Fiji,883483,48.35703339,6266.967965,188.4143219,49.30050142,,21.277,8.208,56.248,43.752
Finland,5515525,18.15685565,50152.34014,4205.742676,50.72075849,,8.6,9.9,85.382,14.618
France,66977107,122.3383957,41463.64402,4379.727051,51.58424048,,11.3,9.2,80.444,19.556
French Polynesia,277679,75.86857923,,,49.32456523,,14.684,5.649,61.834,38.166
Gabon,2119275,8.224764233,7952.525893,204.4922485,49.06862016,84.66716,31.611,6.833,89.37,10.63
Gambia,2280102,225.3065217,716.118489,23.27232552,50.4021329,,38.535,7.887,61.27,38.73
Georgia,3726549,65.27520207,4717.143026,293.0535889,52.2912375,,13.472,12.849,58.632,41.368
Germany,82905782,237.3709698,47603.02763,5033.452148,50.66036737,,9.5,11.5,77.312,22.688
Ghana,29767108,130.8214292,2202.312164,66.74941254,49.3258297,79.03964,29.407,7.309,56.06,43.94
Gibraltar,33718,3371.8,,,,,,,100,0
Greece,10731726,83.22473235,20324.25356,1516.587769,50.91620191,97.93595,8.1,11.2,79.058,20.942
Greenland,56025,0.136496528,,,,,14.6,8.7,86.816,13.184
Grenada,111454,327.8058824,10640.49676,497.2360535,49.60744376,,16.465,9.576,36.272,63.728
Guam,165768,306.9777778,35712.56214,,49.4944803,,16.579,5.216,94.78,5.22
Guatemala,17247807,160.9537794,4549.010081,259.9350281,50.7593495,,24.561,4.738,51.054,48.946
Guinea,12414318,50.52221227,878.5996133,33.72011185,51.8211107,,36.364,8.452,36.14,63.86
Guinea-Bissau,1874309,66.65394737,777.9699218,52.35940933,51.16880719,,35.125,9.612,43.36,56.64
